mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonnetz,stft,mel
5512.25124097473,3182.643355667264,11024.50248194946,0.0,5512.251240974729,-2.6246269988301354e-16,-1.2000000048873312,2756.125620487365,8268.376861462095,0.0,5512.2512409747305,78.08093,0.04197278,0.1037657092574626,172.265625,9.518531,486.9593,133.95116,0.34005362,2568.6043926807106,2562.7956200326125,5265.239426185345,0.008941676449034786,0.27229062,0.36935666
5512.420250857167,3182.689400764703,11024.840501714334,0.0,5512.420250857167,3.365500259893671e-16,-1.2000000020091555,2756.2101254285835,8268.630376285751,0.0,5512.420250857168,49.700237,0.026814196,0.06867368786528558,117.45383522727273,9.871352,479.02866,135.26971,0.31878337,2157.1781168996167,2474.711204113755,4650.142714556526,0.006630320701083796,0.16594642,0.15681186
5512.367935602885,3182.7196026697666,11024.73587120577,0.0,5512.367935602885,-9.288415237980184e-17,-1.2000000055096591,2756.1839678014426,8268.551903404328,0.0,5512.367935602886,221.15817,0.07278885,0.06192803411432131,198.76802884615384,3.2468283,456.38052,169.93933,0.4342007,1887.3152093752844,2364.2984575054593,4161.02890386814,0.004788398508211347,0.40941432,1.1559639
5512.04569803857,3182.643348099696,11024.09139607714,0.0,5512.04569803857,-3.994405163793204e-16,-1.2000000163005875,2756.0228490192844,8268.068547057854,0.0,5512.04569803857,173.44646,0.08453894,0.039845069842185506,112.34714673913044,1.8214173,396.77106,167.47565,0.4006569,1649.1685651217376,2314.817036974384,3773.4695434570312,-0.0061516123970163416,0.4735007,1.6437888
5512.313141927393,3182.7512341527563,11024.626283854785,0.0,5512.313141927392,-1.1827500582904764e-15,-1.200000011029817,2756.156570963696,8268.469712891088,0.0,5512.313141927392,91.648994,0.0557363,0.055691139583757036,129.19921875,2.5542126,450.20163,160.87677,0.4058395,1925.6392224562305,2366.8654169498864,4330.587031923491,-0.002957498557324833,0.38160756,0.686543
5512.256482749481,3182.783941236823,11024.512965498961,0.0,5512.256482749481,0.0,-1.2000000187324735,2756.1282413747404,8268.384724124222,0.0,5512.256482749482,171.18176,0.086958036,0.06294725682480784,161.4990234375,1.6107253,356.73102,190.93646,0.42408764,1770.7975976703526,2234.6015113794056,3754.1943359375,-0.004110333955006795,0.5820935,1.6928699
5512.247214197276,3182.789291474437,11024.494428394553,0.0,5512.247214197276,3.555498547611199e-16,-1.2000000201855021,2756.1236070986383,8268.370821295914,0.0,5512.247214197276,60.061737,0.052479662,0.0336573734409391,172.265625,4.289992,426.0736,167.40738,0.40612498,1486.2770189152734,2273.2333556408853,3505.9059320494184,0.006658368454175593,0.252329,0.626801
5512.239324726912,3182.6433553493657,11024.478649453824,0.0,5512.239324726912,-2.750353918357415e-16,-1.2000000053667792,2756.119662363456,8268.358987090367,0.0,5512.239324726911,382.3631,0.09508094,0.04083224967490247,161.4990234375,4.2136364,444.53848,179.55554,0.34912446,1450.539433038198,2097.253735541854,3063.941312123494,0.010774268478183238,0.46501258,2.1208062
5512.309209843215,3182.7535040315806,11024.61841968643,0.0,5512.309209843215,-1.3418171232638986e-16,-1.2000000114988896,2756.1546049216076,8268.463814764822,0.0,5512.309209843214,158.80203,0.074135154,0.036581989340347475,117.45383522727273,1.851117,420.17206,194.46829,0.40784913,1475.2802547941478,2216.458659341311,3474.4012129934213,-0.0009446236384828831,0.40553015,1.2447282
5512.291169451075,3182.76391814679,11024.582338902148,0.0,5512.291169451074,-7.343375139381253e-16,-1.200000013776192,2756.145584725537,8268.436754176611,0.0,5512.291169451075,223.86082,0.0920881,0.03265398893855595,99.38401442307692,2.0977027,461.43784,225.43079,0.43827567,1105.9602805751003,1661.7138550925897,2044.8260967548076,-0.004740095615418151,0.53935647,1.9252985
5512.086954892852,3182.6433499736104,11024.173909785703,0.0,5512.086954892851,-4.3579900049621317e-16,-1.2000000134743865,2756.043477446426,8268.130432339276,0.0,5512.0869548928495,127.291405,0.06905591,0.0368635971977672,86.1328125,3.185535,462.41153,192.08243,0.4445458,1543.481124795348,2352.15097639416,3735.1981684846696,0.0013602795826568074,0.3364265,1.0794456
5512.304805070641,3182.7560467720946,11024.609610141284,0.0,5512.304805070642,1.0982330157113202e-15,-1.200000012035949,2756.152402535321,8268.457207605963,0.0,5512.304805070642,52.78628,0.043232746,0.03448764251823525,103.359375,4.5532913,496.22287,161.15434,0.42944923,1497.8580526148428,2231.05713066936,3199.21875,-0.0010880548925386365,0.23107396,0.42532167
